filename,label
frame_00001.npy,other
frame_00002.npy,other
frame_00003.npy,other
frame_00004.npy,nihon
frame_00005.npy,syuwa
frame_00006.npy,ichi
frame_00007.npy,other
frame_00008.npy,other
frame_00009.npy,other
frame_00010.npy,other
frame_00011.npy,other
frame_00012.npy,other
frame_00013.npy,other
frame_00014.npy,ha!
frame_00015.npy,ha!
frame_00016.npy,wakaru
frame_00017.npy,wakaru
frame_00018.npy,wakaru
frame_00019.npy,wakaru
frame_00020.npy,?
frame_00021.npy,?
frame_00022.npy,?
frame_00023.npy,wakaranai
frame_00024.npy,wakaranai
frame_00025.npy,other
frame_00026.npy,wakaranai
frame_00027.npy,wakaranai
frame_00028.npy,other
frame_00029.npy,other
frame_00030.npy,waktta
frame_00031.npy,other
frame_00032.npy,wakaranai
frame_00039.npy,hai
frame_00040.npy,hai
frame_00059.npy,wakarimasitaka?
frame_00060.npy,tugi
frame_00067.npy,watashi
frame_00068.npy,namae
frame_00069.npy,namae
frame_00070.npy,no
frame_00071.npy,zaki
frame_00072.npy,other
frame_00073.npy,other
frame_00074.npy,other
frame_00075.npy,zaki
frame_00076.npy,watashi
frame_00077.npy,namae
frame_00078.npy,zaki
frame_00079.npy,ok?
frame_00080.npy,other
frame_00081.npy,other
frame_00082.npy,other
frame_00083.npy,other
frame_00084.npy,other
frame_00085.npy,other
frame_00086.npy,namae
frame_00202.npy,ichi
frame_00204.npy,ichi
frame_00205.npy,ichi
frame_00206.npy,ichi
frame_00207.npy,ichi
frame_00208.npy,ichi
frame_00209.npy,ichi
frame_00210.npy,ichi
frame_00211.npy,ichi
frame_00212.npy,ichi
frame_00213.npy,ichi
frame_00214.npy,ichi
frame_00215.npy,nihon
frame_00216.npy,ichi
frame_00217.npy,nihon
frame_00218.npy,ichi
frame_00219.npy,nihon
frame_00220.npy,ichi
frame_00221.npy,nihon
frame_00222.npy,nihon
frame_00223.npy,nihon
frame_00224.npy,nihon
frame_00225.npy,no
frame_00226.npy,nihon
frame_00227.npy,no
frame_00228.npy,nihon
frame_00229.npy,no
frame_00230.npy,nihon
frame_00231.npy,no
